Order ID,Customer ID,Order Date,Product ID,Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost
IR-2014-8540,TG-11640,2014-09-18,TEC-CAN-10003392,Technology,"Canon Copy Machine, Color",2108.64,8,0.00,527.04,630.97
US-2014-135013,HR-14830,2014-07-25,TEC-CO-10001449,Technology,Hewlett Packard LaserJet 3310 Copier,2399.96,5,0.20,839.99,630.05
IN-2011-10286,DG-3300,2011-12-17,FUR-BO-10001372,Furniture,"Safco Classic Bookcase, Pine",2197.5,5,0.00,153.75,627.27
MZ-2013-3690,SG-20470,2013-12-18,TEC-MOT-10002272,Technology,"Motorola Smart Phone, with Caller ID",2582.16,4,0.00,593.88,627.17
IN-2012-66342,FH-14365,2012-05-30,TEC-CO-10004997,Technology,"Hewlett Wireless Fax, Color",1526.52,4,0.00,732.72,625.77
CA-2012-111829,GP-14740,2012-03-19,TEC-CO-10001766,Technology,Canon PC940 Copier,3149.93,7,0.00,1480.47,617.92
IN-2012-48240,MW-18220,2012-05-25,FUR-TA-10000226,Furniture,"Chromcraft Conference Table, with Bottom Storage",1745.34,2,0.00,226.86,616.27
IN-2014-61792,PO-18850,2014-05-08,OFF-AP-10002244,Office Supplies,"Breville Refrigerator, White",4191.51,9,0.10,1164.27,614.34
CA-2014-129021,CS-12460,2014-08-24,TEC-PH-10001459,Technology,Samsung Galaxy Mega 6.3,4367.9,13,0.20,327.59,609.44
IN-2014-75470,KD-16495,2014-11-03,FUR-BO-10001073,Furniture,"Safco Classic Bookcase, Metal",3063.27,7,0.00,581.91,609.24
CA-2012-114811,MS-17980,2012-08-11,TEC-MA-10000045,Technology,Zebra ZM400 Thermal Label Printer,4643.8,4,0.00,2229.02,607.34
ES-2014-4673578,KC-16675,2014-11-08,TEC-PH-10002035,Technology,"Samsung Smart Phone, Cordless",4473,7,0.00,313.11,604.4
IT-2013-3376681,DB-13405,2013-08-31,TEC-PH-10002565,Technology,"Apple Audio Dock, with Caller ID",1502.01,9,0.00,225.18,600.21
IN-2014-66615,JD-15895,2014-01-18,FUR-CH-10000027,Furniture,"SAFCO Executive Leather Armchair, Black",5049,11,0.00,656.37,595.5
CA-2013-143805,DK-13090,2013-02-12,OFF-AP-10002945,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,2104.55,7,0.00,694.5,594.02
IT-2014-4540740,CS-11845,2014-07-12,FUR-BO-10004999,Furniture,"Safco Classic Bookcase, Metal",2188.05,5,0.00,1050.15,593.91
IN-2014-11231,EM-14200,2014-12-16,FUR-TA-10001205,Furniture,"Chromcraft Wood Table, Rectangular",1920.36,4,0.00,652.92,592.77
MX-2014-154907,DW-3480,2014-11-20,TEC-PH-10004196,Technology,"Samsung Smart Phone, Cordless",1704,4,0.00,119.28,592.73
UP-2011-8610,AS-10225,2011-09-11,FUR-CHR-10001018,Furniture,"Chromcraft Round Table, Rectangular",1858.68,4,0.00,130.08,590.56
IN-2013-40050,ST-20530,2013-07-06,FUR-CH-10003232,Furniture,"Harbour Creations Executive Leather Armchair, Adjustable",3298.26,7,0.00,1055.25,589.36
MX-2011-110275,BW-1065,2011-11-22,OFF-AP-10001630,Office Supplies,"Hamilton Beach Microwave, Black",2443.48,13,0.00,121.94,589.29
CG-2013-6110,LA-16780,2013-03-29,FUR-HAR-10002873,Furniture,"Harbour Creations Executive Leather Armchair, Adjustable",3808.8,8,0.00,1523.52,588.13
IN-2014-30110,AB-10150,2014-08-26,FUR-TA-10000687,Furniture,"Bevis Conference Table, with Bottom Storage",3427.15,7,0.47,-452.81,586.57
ES-2012-2058076,CM-12385,2012-09-20,TEC-PH-10004505,Technology,"Nokia Smart Phone, Full Size",3441.69,6,0.10,38.07,585.25
IN-2014-51950,BE-11410,2014-05-16,TEC-PH-10002683,Technology,"Apple Smart Phone, Cordless",2863.35,5,0.10,858.9,581.88
CA-2012-145352,SZ-20035,2012-03-16,OFF-BI-10003527,Office Supplies,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,5,0.00,3177.48,581.12
ES-2013-4670866,RM-19375,2013-11-24,TEC-CO-10002269,Technology,"Brother Ink, Color",1487.4,10,0.00,728.7,580.98
IN-2011-62506,HG-14845,2011-09-11,TEC-CO-10002526,Technology,"Sharp Wireless Fax, Digital",3200.04,9,0.00,1183.95,576.71
IN-2011-46413,DP-3105,2011-10-28,FUR-CH-10000602,Furniture,"Novimex Executive Leather Armchair, Red",2301,5,0.00,91.95,573.27
ES-2014-3785216,AR-10540,2014-11-19,FUR-CH-10002891,Furniture,"Hon Executive Leather Armchair, Adjustable",5729.35,14,0.10,63.55,572.95
MO-2014-2000,TP-21415,2014-10-28,TEC-CAN-10001437,Technology,"Canon Wireless Fax, Laser",5301.24,14,0.00,2597.28,568.45
CA-2014-138289,AM-10705,2014-01-17,OFF-BI-10004995,Office Supplies,GBC DocuBind P400 Electric Binding System,5443.96,4,0.00,2504.22,567.95
CA-2014-118892,AB-255,2014-08-18,FUR-CH-10002024,Furniture,HON 5400 Series Task Chairs for Big and Tall,4416.17,9,0.30,-630.88,566.65
ES-2013-1434123,RP-19270,2013-01-29,TEC-PH-10004327,Technology,"Motorola Smart Phone, Full Size",3219.9,5,0.00,965.85,564.25
ID-2012-78207,BK-11260,2012-09-18,OFF-AP-10001621,Office Supplies,"Hamilton Beach Refrigerator, Black",2487.81,6,0.17,-269.79,562.14
MO-2013-8630,JM-15250,2013-11-23,OFF-HOO-10001881,Office Supplies,"Hoover Stove, White",2266.44,4,0.00,113.28,556.45
IN-2012-64774,LW-16990,2012-06-13,TEC-CO-10001954,Technology,"Brother Wireless Fax, Laser",3068.36,9,0.10,1124.9,555.77
IN-2013-48765,NZ-18565,2013-10-28,FUR-BO-10003282,Furniture,"Ikea Classic Bookcase, Mobile",3728.43,9,0.00,1192.86,553.31
IN-2013-69730,SV-10815,2013-12-12,TEC-CO-10003102,Technology,"Canon Copy Machine, Color",1581.48,6,0.00,0,550.74
IN-2012-48240,SC-20695,2012-05-25,TEC-PH-10004664,Technology,"Nokia Smart Phone, with Caller ID",1916.73,3,0.00,498.33,548.4
US-2013-102239,NC-18625,2013-06-05,FUR-TA-10003392,Furniture,Global Adaptabilities Conference Tables,1685.88,6,0.00,320.32,548.08
ES-2013-3467296,NF-18385,2013-02-12,OFF-AP-10002552,Office Supplies,"Hamilton Beach Stove, White",2432.16,5,0.10,513.36,546.9
CA-2014-6550,PM-18940,2014-12-23,TEC-MOT-10000554,Technology,"Motorola Smart Phone, Full Size",3863.88,6,0.00,1159.02,546.56
ID-2013-25742,MZ-17335,2013-01-28,FUR-CH-10001415,Furniture,"Office Star Executive Leather Armchair, Red",2465.82,7,0.25,197.19,546.49
IN-2012-86698,HM-4980,2012-07-05,FUR-TA-10003627,Furniture,"Bevis Conference Table, with Bottom Storage",1847.52,2,0.00,738.96,545.89
ES-2013-2903666,RW-19540,2013-11-27,FUR-BO-10001133,Furniture,"Ikea Classic Bookcase, Mobile",2899.89,7,0.00,927.78,541.59
IN-2012-30446,LH-17155,2012-11-28,FUR-CH-10000027,Furniture,"SAFCO Executive Leather Armchair, Black",2891.7,7,0.10,96.39,541.57
IT-2012-1779015,KM-16660,2012-09-29,TEC-MA-10003515,Technology,"Panasonic Printer, Red",2016.85,9,0.15,-0.05,540.77
ES-2013-3903130,AB-10060,2013-03-09,OFF-AP-10002904,Office Supplies,"Hamilton Beach Refrigerator, Silver",3155.54,7,0.10,34.94,539.94
CG-2013-3470,DB-13060,2013-07-26,TEC-MOT-10003348,Technology,"Motorola Smart Phone, Full Size",3856.14,6,0.00,1465.2,533.99
IN-2014-13639,VM-21685,2014-11-19,TEC-PH-10001990,Technology,"Cisco Smart Phone, Full Size",3524.47,6,0.10,861.37,531.28
ES-2012-2510515,DM-13525,2012-06-19,TEC-PH-10002898,Technology,"Samsung Smart Phone, Full Size",2167.3,4,0.15,790.42,531.09
MX-2012-153157,NM-18520,2012-11-10,TEC-PH-10004196,Technology,"Samsung Smart Phone, Cordless",2556,6,0.00,178.92,530.49
ES-2011-2585328,RO-19780,2011-09-08,TEC-CO-10001633,Technology,"Sharp Fax Machine, High-Speed",1469.25,5,0.00,308.4,527.87
ES-2011-4500805,SB-20185,2011-05-11,TEC-PH-10002623,Technology,"Cisco Smart Phone, with Caller ID",4448.83,8,0.15,1517.71,527.85
CA-2014-107174,EM-14065,2014-07-11,FUR-TA-10004575,Furniture,Hon 5100 Series Wood Tables,2036.86,7,0.00,366.63,524.76
MX-2013-113824,RS-19765,2013-04-26,FUR-BO-10001498,Furniture,"Dania Classic Bookcase, Pine",2472.66,9,0.00,914.76,523.47
IN-2013-45076,ON-18715,2013-12-26,OFF-AP-10003598,Office Supplies,"Breville Refrigerator, Red",3739.18,8,0.10,747.82,522.79
IT-2013-5208514,VS-21820,2013-03-13,FUR-CH-10001582,Furniture,"Office Star Executive Leather Armchair, Black",2570.87,11,0.50,-2211.17,520.89
US-2013-107440,CM-12115,2013-04-17,TEC-MA-10001047,Technology,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,7,0.00,2365.98,516.91
ES-2012-2314672,TB-21400,2012-05-04,TEC-PH-10000505,Technology,"Apple Smart Phone, with Caller ID",2875.77,9,0.50,-1783.08,516.63
ES-2012-4765389,AB-10105,2012-12-26,FUR-BO-10002003,Furniture,"Sauder Classic Bookcase, Metal",1741.8,4,0.00,261.24,515.24
IN-2013-15368,DW-13540,2013-04-18,TEC-CO-10001775,Technology,"Sharp Wireless Fax, Laser",1601.64,5,0.10,587.19,511.47
IN-2011-18385,PS-19045,2011-05-24,OFF-AP-10000647,Office Supplies,"Hoover Refrigerator, White",3670.8,7,0.00,367.08,510.72
CA-2012-149846,CC-12370,2012-05-22,TEC-MA-10004002,Technology,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2973.32,7,0.20,334.5,510.18
ES-2013-2757712,TC-21295,2013-05-16,TEC-CO-10001926,Technology,"Hewlett Wireless Fax, Laser",1900.95,5,0.00,589.2,506.89
CA-2011-106726,GM-14440,2011-06-12,OFF-ST-10001496,Office Supplies,Standard Rollaway File with Lock,1261.33,7,0.00,327.95,506.49
IT-2011-1978668,SV-20815,2011-02-16,FUR-CH-10002203,Furniture,"SAFCO Executive Leather Armchair, Black",4544.1,11,0.10,1868.13,506.27
IN-2013-63773,MM-17920,2013-05-31,FUR-BO-10001934,Furniture,"Bush Library with Doors, Metal",1455.12,4,0.00,116.4,504.56
IN-2013-10965,JK-16120,2013-01-10,TEC-CO-10000562,Technology,"HP Wireless Fax, Digital",1943.19,6,0.10,258.93,499.62
CA-2011-145541,DJ-13510,2011-12-14,TEC-MA-10001127,Technology,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6999.96,4,0.00,2239.99,499.55
CA-2013-117121,AT-10435,2013-12-18,OFF-BI-10000545,Office Supplies,GBC Ibimaster 500 Manual ProClick Binding System,9892.74,13,0.00,4946.37,498.7
ID-2013-79432,AB-10015,2013-11-12,TEC-CO-10002035,Technology,"Canon Wireless Fax, High-Speed",1695.87,5,0.10,-37.83,498.62
IT-2014-4499061,RP-19390,2014-03-18,TEC-CO-10004099,Technology,"Sharp Fax Machine, Digital",1505.98,6,0.15,-265.76,498.52
IN-2014-34226,MJ-17740,2014-12-19,TEC-PH-10003002,Technology,"Cisco Smart Phone, Full Size",1954.17,3,0.00,312.66,498.38
CA-2011-136567,PV-18985,2011-12-20,FUR-TA-10001932,Furniture,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",2244.48,7,0.00,493.79,498.14
CA-2013-143714,SB-20290,2013-05-24,TEC-CO-10004722,Technology,Canon imageCLASS 2200 Advanced Copier,8399.98,4,0.40,1120,498.08
CA-2011-151330,SM-10005,2011-10-14,FUR-CH-10000749,Furniture,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1628.82,9,0.00,260.61,496.46
MX-2014-158386,KH-16330,2014-09-18,TEC-CO-10004398,Technology,"Brother Copy Machine, Color",1213.19,7,0.00,508.01,493.41
IN-2013-30663,MP-18175,2013-11-25,TEC-CO-10004535,Technology,"Hewlett Fax Machine, High-Speed",1590.6,5,0.00,572.55,493.2
IN-2013-77444,LH-17020,2013-07-11,TEC-AC-10000420,Technology,"Belkin Router, USB",2330.64,9,0.00,1025.46,492.79
IN-2014-39077,ND-18370,2014-07-19,FUR-BO-10001212,Furniture,"Safco Classic Bookcase, Mobile",3278.58,8,0.07,140.82,492.28
ID-2012-60980,CR-12625,2012-08-16,TEC-PH-10001670,Technology,"Motorola Smart Phone, Full Size",3741.52,7,0.17,946.63,491.91
CA-2013-128594,GM-14680,2013-08-27,FUR-CH-10001215,Furniture,Global Troy Executive Leather Low-Back Tilter,1603.14,4,0.20,100.2,489.6
IN-2012-57025,RA-19945,2012-11-01,FUR-BO-10004679,Furniture,"Safco Library with Doors, Pine",3637.6,10,0.07,156.4,487.86
MX-2013-157868,BW-11110,2013-01-28,OFF-AP-10001776,Office Supplies,"Hoover Refrigerator, Red",2455.88,7,0.00,785.82,487.48
ID-2012-66111,RF-19735,2012-06-14,TEC-MA-10003704,Technology,"StarTech Printer, Wireless",1024.68,8,0.50,-286.92,487.32
CA-2011-120474,AG-10675,2011-01-12,FUR-CH-10001854,Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2807.84,8,0.00,673.88,487.15
CA-2013-100300,DM-12955,2013-06-25,TEC-MA-10000984,Technology,Okidata MB760 Printer,4476.8,4,0.20,503.64,485.47
MX-2012-164791,KD-16270,2012-06-12,TEC-AC-10000376,Technology,"Memorex Router, Bluetooth",2297.96,14,0.00,988.12,483.26
IT-2013-1350483,BE-11335,2013-05-09,TEC-CO-10003800,Technology,"Hewlett Wireless Fax, Color",2671.41,7,0.00,534.24,483.04
SO-2014-4990,SO-20335,2014-09-18,TEC-SAM-10004230,Technology,"Samsung Smart Phone, Cordless",3834,6,0.00,268.38,481.04
CA-2014-149559,DK-12835,2014-12-09,FUR-CH-10002320,Furniture,Hon Pagoda Stacking Chairs,2054.27,8,0.20,256.78,480.56
IN-2012-30943,LC-7050,2012-03-08,OFF-AP-10002312,Office Supplies,"KitchenAid Refrigerator, Black",3501.74,8,0.17,210.86,479.96
IN-2014-13324,CG-12520,2014-09-12,TEC-PH-10000169,Technology,"Apple Smart Phone, with Caller ID",1725.46,3,0.10,747.61,479.94
IN-2012-46889,TB-21280,2012-10-25,TEC-CO-10000865,Technology,"Brother Fax Machine, High-Speed",1583.7,5,0.00,174.15,479.67
CA-2012-114069,HG-15025,2012-07-13,FUR-CH-10000595,Furniture,Safco Contoured Stacking Chairs,1931.04,9,0.10,321.84,477.15
ID-2013-35640,AD-10180,2013-08-27,FUR-BO-10000288,Furniture,"Safco Classic Bookcase, Traditional",2760.35,7,0.10,-214.73,475.34
IN-2011-30292,BP-11155,2011-05-13,TEC-AC-10000866,Technology,"Belkin Router, Erganomic",3078.72,12,0.00,523.08,474.44
IT-2011-3675195,AA-10480,2011-03-11,OFF-AP-10001623,Office Supplies,"Hoover Stove, White",1983.14,7,0.50,-1784.9,473.27
ES-2014-2034971,RL-19615,2014-02-08,FUR-BO-10003541,Furniture,"Bush Classic Bookcase, Metal",1112.78,3,0.10,296.66,472
ES-2011-1426891,CS-12505,2011-09-20,TEC-CO-10004365,Technology,"HP Wireless Fax, Color",3616.5,10,0.00,36,471.92
CA-2014-159366,SW-20245,2014-08-01,TEC-MA-10000822,Technology,Lexmark MX611dhe Monochrome Laser Printer,3059.98,2,0.10,680,471.22
IN-2013-14773,TA-21385,2013-11-03,TEC-PH-10000499,Technology,"Motorola Smart Phone, Full Size",2892.11,5,0.10,160.61,470.29
ES-2012-4934238,YC-21895,2012-02-02,TEC-PH-10000800,Technology,"Cisco Smart Phone, Full Size",3263.4,5,0.00,848.4,469.29
CA-2013-108987,JM-15580,2013-09-09,FUR-BO-10004834,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.27,4,0.32,-317.15,469.16
MX-2014-111941,MZ-7335,2014-09-04,FUR-TA-10001642,Furniture,"Lesro Round Table, Rectangular",3117.09,13,0.20,38.95,466.7
US-2013-143819,JF-15295,2013-02-03,TEC-MA-10003979,Technology,Ativa V4110MDD Micro-Cut Shredder,4899.93,7,0.00,2400.97,466.33
MX-2014-152961,JL-15835,2014-03-19,OFF-AP-10001041,Office Supplies,"Hoover Stove, White",1888.7,5,0.00,887.6,465.92
IN-2013-17041,DJ-3510,2013-02-10,OFF-AP-10002090,Office Supplies,"Hamilton Beach Refrigerator, Red",3000.78,6,0.00,1080.18,465.63
ES-2013-4679331,MF-18250,2013-12-01,OFF-AP-10002330,Office Supplies,"Hamilton Beach Stove, Silver",3801.63,7,0.00,1444.59,465.02
SA-2014-1270,JE-15610,2014-08-20,TEC-CIS-10002344,Technology,"Cisco Smart Phone, Full Size",5211.12,8,0.00,1146.24,463.98
IN-2011-10286,CP-12340,2011-12-17,FUR-TA-10002153,Furniture,"Lesro Round Table, with Bottom Storage",1356.03,3,0.00,311.85,458.97
IN-2014-12897,EH-14125,2014-03-14,OFF-AP-10004964,Office Supplies,"Hoover Stove, White",3569.64,7,0.10,674.16,458.54
CA-2013-134887,NC-18340,2013-03-26,TEC-AC-10003832,Technology,Logitech P710e Mobile Speakerphone,1287.45,5,0.00,244.62,457.14
ID-2014-10076,JS-16030,2014-09-07,FUR-BO-10004679,Furniture,"Safco Library with Doors, Pine",2910.08,8,0.07,125.12,456.32
ID-2013-70122,AM-10360,2013-11-06,FUR-CH-10002061,Furniture,"Harbour Creations Executive Leather Armchair, Red",3126.4,9,0.27,-128.72,455.71
ES-2011-2257437,JF-15190,2011-10-08,TEC-PH-10002759,Technology,"Cisco Smart Phone, Cordless",5276.99,9,0.10,1758.89,454.81
ID-2014-63920,JG-15160,2014-03-17,TEC-PH-10001699,Technology,"Samsung Smart Phone, Full Size",2645.38,5,0.17,-0.02,452.6
ID-2013-29564,DP-13390,2013-02-01,FUR-BO-10001934,Furniture,"Bush Library with Doors, Metal",1637.01,5,0.10,-36.39,452.28
CA-2013-108196,AG-10330,2013-11-26,TEC-MA-10000418,Technology,Cubify CubeX 3D Printer Double Head Print,4499.99,5,0.70,-6599.98,451.63
ID-2012-36403,GK-14620,2012-10-10,TEC-PH-10001699,Technology,"Samsung Smart Phone, Full Size",2645.38,5,0.17,-0.02,451.03
CA-2014-127180,NF-18475,2014-10-23,TEC-PH-10001494,Technology,Polycom CX600 IP Phone VoIP phone,2399.6,8,0.00,647.89,449.45
IN-2011-19351,DR-12940,2011-06-17,FUR-TA-10001889,Furniture,"Bevis Conference Table, Fully Assembled",3238.31,5,0.30,-740.3,449.18
ES-2014-5842530,NB-18655,2014-03-04,FUR-BO-10000490,Furniture,"Bush Library with Doors, Metal",2291.81,7,0.10,127.13,448.91
MX-2011-137897,NM-18445,2011-05-17,TEC-PH-10000018,Technology,"Nokia Smart Phone, Full Size",2124.5,5,0.00,488.6,447.66
BO-2014-8960,NP-18670,2014-11-02,FUR-HON-10003533,Furniture,"Hon Executive Leather Armchair, Adjustable",2757.78,6,0.00,744.48,446.33
ES-2013-2220066,SC-20380,2013-12-10,TEC-AC-10001949,Technology,"Enermax Router, Bluetooth",1549.98,6,0.00,139.32,443.92
CA-2011-127299,PA-9060,2011-09-19,TEC-MA-10001127,Technology,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",2624.99,3,0.50,-944.99,443.69
UP-2014-4500,RB-19570,2014-07-17,OFF-HOO-10004910,Office Supplies,"Hoover Refrigerator, White",3146.4,6,0.00,629.28,443.55
ES-2014-2440513,SR-20740,2014-11-22,TEC-MA-10001335,Technology,"Epson Printer, Durable",2456.62,11,0.15,664.72,442.49
